chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned)
老耿端起枪，眯缝起一只三角眼，一搂扳机响了枪，冰雹般的金麻雀劈哩啪啦往下落，铁砂子在柳枝间飞迸着，嚓嚓有声。,"Old Geng picked up his shotgun, squinted, and pulled the trigger. Two sparrows crashed to the ground like hailstones as shotgun pellets tore noisily through the branches.","Old Teng raised his gun and looked up at a pair of triangular eyes, cocking the trigger and the shot rang out, like thunderclaps as if it were raining down from the sky. The bullets flew across the branches of the trees like cannonballs, cracking and clinking with a loud sound.","Old Geng raised his rifle, squinted his eyes, and fired. A crisp sound erupted when the rifle barrel clicked shut, sending crumpling peas splashing through the air, shards of metal shooting through the branches, like shattered sandstones.",Old耿拿起枪，眯着眼睛一搂扳机就响了枪，金麻雀噼里啪啦的往下掉，铁砂子在柳枝间飞溅，发出“嚓嚓”的声音。,"Old Geng raised his pistol, squinted, and fired: bang! The shooting sprays of goldbird shot swept down toward him, while streaks of red-hot ironseed began flying through the air between the willows and splatting noisily to the ground."
次日天未明时，刘老老便起来梳洗了， 又将板儿教了几句话； 五六岁的孩子，听见带了他进城逛去，喜欢的无不应承。,"Next day Grannie Liu was up before dawn. As soon as she had washed and done her hair, she set about teaching Ban-er a few words to say to the ladies at the great house – an exercise to which he submitted cheerfully enough, as would any little boy of four or five who had been promised an outing to the great city.","The next day at dawn, Liu Geowon got up early and washed himself. He also taught him some more words. Five-year-old children heard he was going to go to the city and like to follow him.","Three or four hours before this, Grannie Liu had risen early and awoke Qing-er on purpose for an inspection of the rising sun; and using no less than forty or fifty servants to carry out her directions, all of them had been given just as much as they could handle.","At dawn the next day, Liu Langlang got up to brush her teeth, then taught boarder a few sentences; five or six year old children like him liked his company when he was taken to the city for a tour.","But by some miracle of preparation, Grannie Liu rose sometime before daybreak and proceeded to groom herself with care. She instructed Ban-er in a few words of the language of the city and, making him promise his simple assent to all these assertions, brought him out with her to go shopping."
钱老板道：“是，是，多谢香主。” 在一张椅上坐了，续道：“属下将小郡主藏在猪肚里带进宫来，一来是为瞒过宫门侍卫的重重搜检，二来是要瞒过沐王府众人的耳目。,"'Thank you, Master,' said Butcher Qian, seating himself in one of the chairs and continuing. 'There were really two reasons why I hid the Little Countessinside this pig's carcass. One was to get her past the Palace Guard: they always search everyone at the gate. But it was also to get her past any of the Mu Family spies who might be out watching for us.","Money, do you say? Yes, I am grateful."" The money man sat down on a chair. He continued his speech, ""The underling has been hidden in the pig's belly in the palace and brought in as a prisoner, so that it will hide behind the eyes of the guards in the palace and the ears of the people in the royal family.","Any more, sir,' said the butcher. He sat down on a chair and began his account. 'At any rate,' he added after a silence, 'to summarize everything I told you before: first of all I concealed this little princess in one of the pig's feathers and inside him was the room by hiding it among other chickens in the palace; secondly, I wanted to hide my family from the guards at the gate and the people within the Palace so that they couldn't discover our secret.","Boss Qian said, ""Yes, yes, thank you."" He sat on a chair and continued, ""I brought my little princess into the palace through the belly of a pig. One reason is to avoid being searched by the palace guards; another reason is to avoid arousing suspicion among the沐王府众人.""","Of course,' said Butcher Qian eagerly. He sat himself down in a chair and continued: 'I took the Little Countess to live in my pigs' belly when I came here from the Palace. First of all it was to avoid being searched by the Palace guards; but mainly so that I could keep it from people like the Mu Family."
但已经晚了，物理学家静静地躺在地上，半睁的双眼看着从他的头颅上流出的血迹，疯狂的会场瞬间陷入了一片死寂。,"But it was already too late. The physicist lay quietly on the ground, his eyes still open as blood oozed from his head. The frenzied crowd sank into silence.","But it is too late. Physicists lie still on their feet, half opened eyes watching the blood that pours from his head, a dead zone instantly envelops the stage.","But already too late: the physicist lay peacefully on the floor, his eyes open only half-opened; the blood that flowed down his head filled the space left by his ears, and the crowd became a complete death march.","But it was too late. Physicists lay quietly on the ground, half-opened eyes looking at the bloodstains flowing from his head, the crazy assembly suddenly plunged into a dead silence.","But it was too late. The physicist was already dead. He had lifted one of his eyes from the floor, stared at the bloodstains flowing from his skull, and died. The frantic convention hall had fallen into silence."
但这时，绍琳却做出了一件出人意料的事，与一位受迫害的教育部高干结了婚，当时那名高干还在干校住“牛棚”劳改中。,"But then Shao did something that no one expected. She married a persecuted high-level cadre from the Education Ministry. At that time, the cadre still lived in a 'cowshed' for reform through labor.","But then, Richardson made a surprising move, marrying a high official who was being forced by her own government into prison. The high official she married at that time had been in prison for ""bunking"" (meaning staying in a special room where prisoners were kept) and labor改造（劳动改造）.","However, she made a surprising decision just then. She got married to someone who had been victimized by the Ministry of Education: at the time, this victim was still being treated rigorously in the forced labor camp.","But at this time, Shen Ling made a surprising move by marrying someone who was being persecuted by the Education Ministry, when that person was still living in the “cattle pens” of the re-education camp.","But at that moment, Shao Lin did something unexpected. She married a high-ranking state employee who was being persecuted at the General Office of Education. The man had been forced to work in a bullpen at the Revolutionary Committee."
湘云道：“你敢挑宝姐姐的短处，就算你是个好的。”,"'If you can find any shortcomings in Cousin Bao-chai', said Xiang-yun, 'you must be very good indeed.'","Zhuangyun said, 'Do you dare to pick my sister's shortcoming? Even if you're good.' ""","Whatever you do, don't ever refer差我的兄妹!'","Xiang Yun said: ""You dare to pick out my sister’s shortcoming, then you can be a good one.""","If you dare find fault with Bao-chai,' said Xiang-yun, 'I shall consider you a good friend; but if you try to find fault with her now, I shall cut you to pieces.'"
他知道，这都是被转化为可见光的厘米微波，每团光晕的中心就是一个发射源，由于波长的原因，不可能看清形状。,"He realized that these were sources of radiation in the centimeter range, all now converted to visible light. At the heart of each halo was a radiation source. Because the original wavelengths were so long, it was impossible to see their shapes clearly.","He knows that this is the visible light pulse, each cloud of light a source of emission. Because wavelength, it's impossible to see shape.","He knew that they had been converted from visible light into microwave rays, and each ray's source was located in the center, since the wavelength of each wave was impossible to observe with sight.","He knew that this was all microwaves converted into visible light, each halo's center being an emission source; since wavelength, it was impossible to see shapes.","By the time he reached them, the radiation had been converted into visible light. The clusters of spots was caused by one emitting source. Since the wavelength was too short, it was impossible to see the shapes."
海老公问起今日做了什么事，韦小宝说了到鳌拜家中抄家，至于吞没珍宝、金银、匕首等事，自然绝口不提，最后道：“太后命我到鳌拜家里拿两部《四十二章经》……”,"When Old Hai asked what he had been doing that day, Trinket told him that he had been helping supervise the confiscation of Oboi's estate. He concluded his account—which of course omitted any mention of the dagger and various other valuables that he had pocketed for himself—by telling him about the two copies of the Sutra in Forty-Two Sections that had been discovered in Oboi's house.","Mr. Hai asked what he had done today, and Wang Xiaobo said that he had taken everything from the house of the Ruler. There was no need for him to say anything about stealing treasure, gold, etc., and finally replied, ""The Empress has sent me two copies of the Four Twenty-Seven Chapters of the Buddha.""","The old eunuch asked what he had done that day. Trinket answered him that he had taken the family首饰一宗,一口铜钱和一些银子,以及一把匕首。 他说完这些话，就不答下人到鳌拜家拿经书之类的事情。 ""That Lady Wen wants me to take two volumes of the Four-Times Chapter Book . . .. '""","Honglu asked what he did today, and when Kang Weifu told him that he had been sent to take two copies of the Fourty-two Chapters from the house of Abao, the latter said that he would not speak of them. Finally, he said: ""Empress Dowager ordered me to get two copies of the Fourty-two Chapters from the house of Abao.""","The old eunuch had started a discussion of recent events, starting with today's visit to Oboi's place and ending with some expletives about the precious metals and gems he'd been told had been taken from Oboi's palace. In his final statement that he'd been sent by the Empress Dowager to fetch two copies of the Sutra in Two Parts from Obao's place . . .'"
“老克腊”是这粗糙时尚中的一点精细所在。,"In this crude and uncultured fashion world, the 'Old Colours' were the stewards in charge of safekeeping refinement.","Kratz is a point of detail in this rough and trendy fashion.""","Although often crude, this old-fashioned sense of simplicity distinguishes itself by having something in it.","Old Kragh"" is a touch of sophistication in this rough, trendy world.",Old Colour was a bit of refinement amid the scruffiness on the backstreets.
我现在有家有口，已经学了不少好。,"Now that I have a wife and family, I have learned a lot about how to be good.",I have a home and a mouth. I've learned many things.,Now I have a place and a family. I've learned a lot.,"I have a home and family now, and I've learned quite a lot already.","I had a home, a family, and could now do things properly."
